"routeCode","busRegNo","serviceDate","schedDepart","schedArrive","headsign"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T10:45:00.000Z","2025-10-06T13:18:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T10:50:00.000Z","2025-10-06T13:23:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T10:55:00.000Z","2025-10-06T13:28:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T11:00:00.000Z","2025-10-06T13:33:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T11:05:00.000Z","2025-10-06T13:38:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T11:10:00.000Z","2025-10-06T13:43:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T11:15:00.000Z","2025-10-06T13:48:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T11:20:00.000Z","2025-10-06T13:53:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T11:25:00.000Z","2025-10-06T13:58:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T11:30:00.000Z","2025-10-06T14:03:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T11:35:00.000Z","2025-10-06T14:08:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T11:40:00.000Z","2025-10-06T14:13:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T11:45:00.000Z","2025-10-06T14:18:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T11:50:00.000Z","2025-10-06T14:23:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T11:55:00.000Z","2025-10-06T14:28:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T12:00:00.000Z","2025-10-06T14:33:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T12:05:00.000Z","2025-10-06T14:38:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T12:10:00.000Z","2025-10-06T14:43:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T12:15:00.000Z","2025-10-06T14:48:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T12:20:00.000Z","2025-10-06T14:53:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T12:25:00.000Z","2025-10-06T14:58:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T12:30:00.000Z","2025-10-06T15:03:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T12:35:00.000Z","2025-10-06T15:08:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T12:40:00.000Z","2025-10-06T15:13:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T12:45:00.000Z","2025-10-06T15:18:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T12:50:00.000Z","2025-10-06T15:23:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T12:55:00.000Z","2025-10-06T15:28:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T13:00:00.000Z","2025-10-06T15:33:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T13:05:00.000Z","2025-10-06T15:38:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T13:10:00.000Z","2025-10-06T15:43:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T13:15:00.000Z","2025-10-06T15:48:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T13:20:00.000Z","2025-10-06T15:53:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T13:25:00.000Z","2025-10-06T15:58:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T13:30:00.000Z","2025-10-06T16:03:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T13:35:00.000Z","2025-10-06T16:08:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T13:40:00.000Z","2025-10-06T16:13:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T13:45:00.000Z","2025-10-06T16:18:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T13:50:00.000Z","2025-10-06T16:23:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T13:55:00.000Z","2025-10-06T16:28:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T14:00:00.000Z","2025-10-06T16:33:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T14:05:00.000Z","2025-10-06T16:38:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T14:10:00.000Z","2025-10-06T16:43:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T14:15:00.000Z","2025-10-06T16:48:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T14:20:00.000Z","2025-10-06T16:53:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T14:25:00.000Z","2025-10-06T16:58:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T14:30:00.000Z","2025-10-06T17:03:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T14:35:00.000Z","2025-10-06T17:08:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T14:40:00.000Z","2025-10-06T17:13:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T14:45:00.000Z","2025-10-06T17:18:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T14:50:00.000Z","2025-10-06T17:23:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T14:55:00.000Z","2025-10-06T17:28:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T15:00:00.000Z","2025-10-06T17:33:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T15:05:00.000Z","2025-10-06T17:38:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T15:10:00.000Z","2025-10-06T17:43:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T15:15:00.000Z","2025-10-06T17:48:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T15:20:00.000Z","2025-10-06T17:53:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T15:25:00.000Z","2025-10-06T17:58:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T15:30:00.000Z","2025-10-06T18:03:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T15:35:00.000Z","2025-10-06T18:08:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T15:40:00.000Z","2025-10-06T18:13:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T15:45:00.000Z","2025-10-06T18:18:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T15:50:00.000Z","2025-10-06T18:23:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T15:55:00.000Z","2025-10-06T18:28:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T16:00:00.000Z","2025-10-06T18:33:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T16:05:00.000Z","2025-10-06T18:38:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T16:10:00.000Z","2025-10-06T18:43:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T16:15:00.000Z","2025-10-06T18:48:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T16:20:00.000Z","2025-10-06T18:53:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T16:25:00.000Z","2025-10-06T18:58:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T16:30:00.000Z","2025-10-06T19:03:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T16:35:00.000Z","2025-10-06T19:08:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T16:40:00.000Z","2025-10-06T19:13:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T16:45:00.000Z","2025-10-06T19:18:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T16:50:00.000Z","2025-10-06T19:23:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T16:55:00.000Z","2025-10-06T19:28:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T17:00:00.000Z","2025-10-06T19:33:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T17:05:00.000Z","2025-10-06T19:38:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T17:10:00.000Z","2025-10-06T19:43:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T17:15:00.000Z","2025-10-06T19:48:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T17:20:00.000Z","2025-10-06T19:53:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T17:25:00.000Z","2025-10-06T19:58:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T17:30:00.000Z","2025-10-06T20:03:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T17:35:00.000Z","2025-10-06T20:08:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T17:40:00.000Z","2025-10-06T20:13:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T17:45:00.000Z","2025-10-06T20:18:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T17:50:00.000Z","2025-10-06T20:23:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T17:55:00.000Z","2025-10-06T20:28:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T18:00:00.000Z","2025-10-06T20:33:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T18:05:00.000Z","2025-10-06T20:38:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T18:10:00.000Z","2025-10-06T20:43:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T18:15:00.000Z","2025-10-06T20:48:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T18:20:00.000Z","2025-10-06T20:53:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T18:25:00.000Z","2025-10-06T20:58:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T18:30:00.000Z","2025-10-06T21:03:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T18:35:00.000Z","2025-10-06T21:08:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T18:40:00.000Z","2025-10-06T21:13:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T18:45:00.000Z","2025-10-06T21:18:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T18:50:00.000Z","2025-10-06T21:23:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T18:55:00.000Z","2025-10-06T21:28:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T19:00:00.000Z","2025-10-06T21:33:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T19:05:00.000Z","2025-10-06T21:38:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T19:10:00.000Z","2025-10-06T21:43:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T19:15:00.000Z","2025-10-06T21:48:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T19:20:00.000Z","2025-10-06T21:53:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T19:25:00.000Z","2025-10-06T21:58:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T19:30:00.000Z","2025-10-06T22:03:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T19:35:00.000Z","2025-10-06T22:08:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T19:40:00.000Z","2025-10-06T22:13:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T19:45:00.000Z","2025-10-06T22:18:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T19:50:00.000Z","2025-10-06T22:23:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T19:55:00.000Z","2025-10-06T22:28:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T20:00:00.000Z","2025-10-06T22:33:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T20:05:00.000Z","2025-10-06T22:38:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T20:10:00.000Z","2025-10-06T22:43:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T20:15:00.000Z","2025-10-06T22:48:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T20:20:00.000Z","2025-10-06T22:53:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T20:25:00.000Z","2025-10-06T22:58:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T20:30:00.000Z","2025-10-06T23:03:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T20:35:00.000Z","2025-10-06T23:08:00.000Z","Colombo - Kandy"
"R001","NB-1004","2025-10-06T00:00:00.000Z","2025-10-06T20:40:00.000Z","2025-10-06T23:13:00.000Z","Colombo - Kandy"
"R001","NB-1005","2025-10-06T00:00:00.000Z","2025-10-06T20:45:00.000Z","2025-10-06T23:18:00.000Z","Colombo - Kandy"
"R001","NB-1001","2025-10-06T00:00:00.000Z","2025-10-06T20:50:00.000Z","2025-10-06T23:23:00.000Z","Colombo - Kandy"
"R001","NB-1002","2025-10-06T00:00:00.000Z","2025-10-06T20:55:00.000Z","2025-10-06T23:28:00.000Z","Colombo - Kandy"
"R001","NB-1003","2025-10-06T00:00:00.000Z","2025-10-06T21:00:00.000Z","2025-10-06T23:33:00.000Z","Colombo - Kandy"
